"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI"
"73","MIRA-BHAYANDER","MAHARASHTRA","GROUNDWATER",28,7.2,164.4,3.8,0.5,12,40,2016,40,100,60,80,100,80,6.8,17,10.4,5.16,22,17.6,78.96
"74","DAHANU","MAHARASHTRA","GROUNDWATER",24,7.6,282,2.6,0.4,4,11,2016,60,100,40,100,100,80,10.2,17,13,3.44,22,17.6,83.24
"75","VASAI","MAHARASHTRA","GROUNDWATER",28,7.1,2045,3,2.6,13,23,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"76","PALGHAR","MAHARASHTRA","GROUNDWATER",24,7.5,321.4,2.8,0.3,4,13,2016,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8
"77","MSW SITE, TALOJA, RAIGAD","MAHARASHTRA","GROUNDWATER",24,7.1,173.6,4.6,1.1,120,350,2016,60,100,60,80,100,60,10.2,17,10.4,5.16,22,13.2,77.96
"78","MSW SITE, PIMPRI-
CHINCHWAD, PUNE","MAHARASHTRA","GROUNDWATER",28,7.3,1045,3.2,0.3,7,20,2016,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8
"79","KHAPERKHEDA, NAGPUR","MAHARASHTRA","GROUNDWATER",27,6.8,773,3.2,3.4,79,130,2016,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4
"80","KORADI, NAGPUR","MAHARASHTRA","GROUNDWATER",27,6.8,755,4,3.2,79,170,2016,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4
"81","BHAHMNI, KALMESHWAR,
NAGPUR","MAHARASHTRA","GROUNDWATER",27,6.5,521,3.8,0.1,170,350,2016,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4
"82","SUKALI, AMRAVATI","MAHARASHTRA","GROUNDWATER",26,7.6,1173,2,0,22,54,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"83","AKOT, AKOLA","MAHARASHTRA","GROUNDWATER",32,8,841,3.1,3.9,23,110,2016,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4
"84","BORE WELL AT KATPUR,
NEAR Z.P SCHOOL.","MAHARASHTRA","GROUNDWATER",22,7.8,1025,3,0.1,2,130,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"85","DUG WELL OWNED BY SHRI DESHMUKH, MALEGAON,
BARAMATI, PUNE","MAHARASHTRA","GROUNDWATER",26,8,1309,3.2,0.2,4,17,2016,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8
"86","DUG WELL OWNED BY SHRI SHIVAJI BABAN DAREKAR,
SANASWADI, SHIRUR, PUNE","MAHARASHTRA","GROUNDWATER",25,8.1,390,3.2,0.3,5,17,2016,60,100,0,80,100,80,10.2,17,10.4,0,22,17.6,77.2
"87","BORE WELL AT BALE RAILWAY STATION
PREMISES OWNED BY SHRI","MAHARASHTRA","GROUNDWATER",28,7,813.1,2.8,0.2,4,11,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"88","BORE WELL NEAR CHINCHOLI, MOHOL,
SOLAPUR","MAHARASHTRA","GROUNDWATER",28,7.4,1240,2.6,0.2,7,20,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"89","BORE WELL AT SHETE VASTI NEAR OLD TULJAPUR ROA,
TULJPUR NAKA, SOLAPUR","MAHARASHTRA","GROUNDWATER",30,7.5,1033,3.6,0.2,4,11,2016,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8
"90","BORE WELL AT WAHEGAON NEAR ZILLA PARISHET SCHOOL, PAITHAN,
AURANGABAD","MAHARASHTRA","GROUNDWATER",22,8,1850,4,0,2,130,2016,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8
"91","DUG WELL NEAR RAILWAY STATION, COTTON
MARKET, WARDHA","MAHARASHTRA","GROUNDWATER",33,6.5,453,4,0.1,79,280,2016,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4
"92","POLICE BAZAR, SHILLONG","MEGHALAYA","GROUNDWATER",19,6.2,252,1.5,10,9,20,2016,80,80,40,100,100,80,13.6,13.6,13,3.44,22,17.6,83.24
"93","MAWLAI, SHILLONG","MEGHALAYA","GROUNDWATER",19,5.4,200,1.8,16,20,34,2016,80,60,60,100,100,80,13.6,10.2,13,5.16,22,17.6,81.56
"94","INDUSTRIAL ESTATE,
BYRNIHAT","MEGHALAYA","GROUNDWATER",20,6.5,204,1.5,1.6,16,32,2016,80,100,60,100,100,80,13.6,17,13,5.16,22,17.6,88.36
"95","SOHRA CHERRAPUNJEE","MEGHALAYA","GROUNDWATER",17,6.5,98,1,5.6,10,25,2016,80,100,80,100,100,80,13.6,17,13,6.88,22,17.6,90.08
"96","SHANGPUNG","MEGHALAYA","GROUNDWATER",17,5,135,1,8,10,22,2016,80,60,80,100,100,80,13.6,10.2,13,6.88,22,17.6,83.28
"97","MAWTHADRISHAN WELL AT
MARKASA, WEST KHASI HILLS","MEGHALAYA","GROUNDWATER",16,6.8,45,1.5,0.4,11,24,2016,80,100,100,100,100,80,13.6,17,13,8.6,22,17.6,91.8
"98","JAKREM HOT SPRING AT
JAKREM, WEST KHASI HILLS","MEGHALAYA","GROUNDWATER",28,9.6,310,1,0.4,2,8,2016,40,60,0,100,100,80,6.8,10.2,13,0,22,17.6,69.6
"99","RAMHLUM (NORTHERN
PART)","MIZORAM","GROUNDWATER",13,5.8,131,1,0,0,44,2016,100,60,80,100,100,80,17,10.2,13,6.88,22,17.6,86.68
"100","MISSION VENGTHLANG
(SOUTHERN PART)","MIZORAM","GROUNDWATER",10,6.1,122,0.4,0,7,210,2016,100,80,80,100,100,60,17,13.6,13,6.88,22,13.2,85.68
"101","BAWNGKAWN HAND PUMP,
NEAR HB PETROLPUMP","MIZORAM","GROUNDWATER",14,6.2,134,0.6,0,0,7.2,2016,100,80,80,100,100,80,17,13.6,13,6.88,22,17.6,90.08
"102","CHALTLANG HAND PUMP
NEAR TEMI TYRE WORKS","MIZORAM","GROUNDWATER",14,5.2,135,0.1,0.1,0,15,2016,100,60,80,100,100,80,17,10.2,13,6.88,22,17.6,86.68
"103","S HLIMEN HAND PUMP","MIZORAM","GROUNDWATER",14,6.1,28,0.6,0,0,3.6,2016,100,80,100,100,100,100,17,13.6,13,8.6,22,22,96.2
"104","JAGATPUR INDUSTRIAL AREA, CUTTACK","ORISSA","GROUNDWATER",24,6.8,636,0.3,5.4,4.5,4.5,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2
"105","MADHUPATNA- KALYAN NAGAR AREA,
CUTTACK","ORISSA","GROUNDWATER",24,7.3,374,0.3,0.8,35,170,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"106","CAPITAL HOSPITAL AREA,
BHUBANESWAR","ORISSA","GROUNDWATER",26,7.6,182,0.2,2.1,170,920,2016,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76
"107","OLD TOWN- SAMANTARAAIPUR AREA,
BHUBANESWAR","ORISSA","GROUNDWATER",26,7.7,380,0.5,0.7,350,540,2016,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"108","SECRETARIAT- GOVERNOR HOUSE-
OLDBUS STAND AREA, B","ORISSA","GROUNDWATER",26,6.9,286,0.1,2.1,1600,1600,2016,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04
"109","NEAR SEA BEACH, PURI","ORISSA","GROUNDWATER",25,7.8,393,0.4,0.9,240,540,2016,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71
"110","CHUNMBAR RIVER","PUDUCHERRY","GROUNDWATER",25,7.2,400,3,0,130,11,2016,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8
"111","WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM.
FROM PALI TOWN)","RAJASTHAN","GROUNDWATER",24,8.1,3700,9.2,3.7,3,3,2016,60,100,0,60,100,100,10.2,17,7.8,0,22,22,79
"112","WELL OF BHOPAL SINGH, 24
KM. FROM PALI TOWN","RAJASTHAN","GROUNDWATER",23,8.6,5300,11.2,7,3,3,2016,60,80,0,60,100,100,10.2,13.6,7.8,0,22,22,75.6
"113","RIICO PUMP HOUSE NEAR MONTO MOTORS, MIA,
ALWAR","RAJASTHAN","GROUNDWATER",27,7.7,1070,1.3,1,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"114","BORE WELL IN MODI ALKALIS
& CHEMICALS, MIA, ALWAR","RAJASTHAN","GROUNDWATER",29,7.8,1250,1.3,1.7,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"115","WELL KOTHI IN VILLAGE
BAGAR RAJPUT, ALWAR","RAJASTHAN","GROUNDWATER",28,7.4,1290,1.8,1.3,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"116","WELL AT VILLAGE SANTHLA VERY NEAR BHIWADI
INDUSTRIAL AREA, BHIWADI","RAJASTHAN","GROUNDWATER",27,7.4,2300,1.3,2.2,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"117","WELL AT VILLAGE ALUPUR, VERY NEAR BHIWADI
INDUSTRIAL AREA, BHIWADI","RAJASTHAN","GROUNDWATER",27,7.5,1400,1.4,2.4,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
